"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.505718000E0,-4.007414829E-2,1.147633016E-2,5.003170073E-2,6.512153709E-2
1.515764000E0,-3.159542978E-2,-1.370353460E-2,5.518368244E-2,6.504841928E-2
1.525810000E0,-2.656010002E-2,-2.680948377E-3,9.982541978E-2,1.033331546E-1
1.535857000E0,-2.423053276E-2,4.635263264E-2,1.225371748E-1,1.332330458E-1
1.545903000E0,-3.651206106E-2,6.527597666E-2,8.635635853E-2,1.142431809E-1
1.555950000E0,3.500406414E-2,5.837509274E-2,1.978054583E-2,7.088163340E-2
1.565996000E0,9.655273318E-2,-1.321470737E-4,-8.457003415E-2,1.283531785E-1
1.576043000E0,7.247740746E-2,-6.281780720E-2,-4.638069928E-2,1.065374148E-1
1.586089000E0,3.792712379E-2,-7.049227774E-2,5.448143184E-2,9.682899543E-2
1.596136000E0,-5.128885210E-3,-4.552408218E-2,7.775919735E-2,9.025098501E-2
1.606182000E0,-9.949037433E-4,-1.081734896E-2,2.941734195E-2,3.135896808E-2
1.616229000E0,1.098867238E-2,4.216427207E-2,-3.843024015E-2,5.809871012E-2
1.626275000E0,7.026306689E-3,1.003750581E-1,-1.010340393E-1,1.425917191E-1
1.636322000E0,2.807504050E-3,1.100422597E-1,-8.732991993E-2,1.405122625E-1
1.646368000E0,-5.885924220E-2,7.070102334E-2,1.182950199E-2,9.275226257E-2
1.656415000E0,-1.101729450E-1,1.160280544E-1,9.938746333E-2,1.883572538E-1
1.666461000E0,-1.107377860E-1,1.184985030E-1,5.131165624E-2,1.701106655E-1
1.676508000E0,-1.196866572E-2,7.908125281E-2,-4.631228685E-2,9.242251576E-2
1.686554000E0,4.892306864E-2,8.732231855E-2,-1.206958866E-1,1.567997162E-1
1.696601000E0,9.193840295E-2,7.282940984E-2,-1.680723667E-1,2.049514902E-1
1.706647000E0,7.954581410E-2,3.478800952E-2,-1.246486044E-1,1.519046304E-1
1.716694000E0,1.527438909E-2,3.744089127E-2,-3.885357857E-2,5.607787325E-2
1.726740000E0,5.115144253E-2,1.213414192E-2,-6.940644979E-4,5.257555704E-2
1.736787000E0,1.134675586E-1,8.139324188E-4,-1.753989279E-2,1.148181048E-1
1.746833000E0,1.410807422E-1,1.194527686E-2,-3.597850263E-2,1.460853111E-1
1.756880000E0,1.161321348E-1,-2.214749873E-2,-3.778353810E-2,1.241159949E-1
1.766926000E0,7.162663758E-2,-2.580025434E-2,3.848169565E-2,8.530456749E-2
1.776973000E0,-1.366201937E-2,-1.419703960E-3,5.263312697E-2,5.439588576E-2
1.787019000E0,-6.384399354E-2,9.254972935E-3,1.471317333E-1,1.606532196E-1
1.797066000E0,-1.251684219E-2,-2.825608492E-2,2.800506395E-1,2.817506670E-1
1.807112000E0,2.923726598E-2,-3.098848879E-2,2.970449871E-1,3.000847022E-1
1.817159000E0,6.265262336E-2,-8.800059557E-3,1.611299676E-1,1.731059176E-1
1.827205000E0,1.500500969E-1,1.058182311E-1,1.000300723E-1,2.090898012E-1
1.837252000E0,9.379372448E-2,1.794767761E-1,-3.902314782E-2,2.062328344E-1
1.847298000E0,5.454226116E-2,1.916804999E-1,-1.149153292E-2,1.996204589E-1
1.857345000E0,7.169271111E-3,1.869612122E-1,9.276724577E-2,2.088340374E-1
1.867391000E0,-7.687900867E-3,1.525491786E-1,5.194900274E-2,1.613352243E-1
1.877438000E0,-4.859880399E-2,1.418318170E-1,1.501448035E-2,1.506769481E-1
1.887484000E0,-8.176161647E-2,8.466475904E-2,2.089794874E-3,1.177176732E-1
1.897531000E0,-8.868908694E-2,4.244669259E-2,5.462118030E-2,1.124764384E-1
1.907577000E0,-7.905552506E-2,-2.578680575E-2,5.398149490E-2,9.913998783E-2
1.917624000E0,-2.871770432E-2,-1.268027186E-2,-2.772164941E-3,3.151477010E-2
1.927670000E0,-6.092623293E-2,8.042611241E-2,-5.107016623E-2,1.130863710E-1
1.937717000E0,-1.080296298E-1,1.321429807E-1,3.044352829E-2,1.733752482E-1
1.947763000E0,-1.559838331E-1,9.808353424E-2,1.356402004E-1,2.288003493E-1
1.957810000E0,-1.430252337E-1,1.051042861E-1,3.069992870E-1,3.546148483E-1
1.967856000E0,-1.607192007E-1,2.780584931E-2,4.219228023E-1,4.523523824E-1
1.977903000E0,-1.680735179E-1,1.765625238E-2,3.967166251E-1,4.312128608E-1
1.987949000E0,-1.381699982E-1,9.450620770E-2,4.241236943E-1,4.559641211E-1
1.997996000E0,-1.230362164E-1,7.597872019E-2,3.180031621E-1,3.493374981E-1
2.008042000E0,-1.239817294E-1,6.549115419E-2,1.189604330E-1,1.838807906E-1
2.018089000E0,-1.013532790E-1,1.823056591E-1,1.018988425E-1,2.321448138E-1
2.028135000E0,-8.873178989E-2,1.955881941E-1,5.311493754E-2,2.212448165E-1
2.038182000E0,-4.985569954E-2,1.034278893E-1,-4.206077635E-2,1.222784853E-1
2.048228000E0,1.155439049E-2,2.311111987E-2,-1.239691579E-1,1.266332497E-1
2.058275000E0,-1.861782700E-2,2.013371766E-2,-1.563755965E-1,1.587618256E-1
2.068321000E0,-1.536238968E-2,-2.435774624E-2,-1.171817100E-1,1.206683719E-1
2.078368000E0,-5.891829908E-2,-8.603593111E-2,-1.560855746E-2,1.054380125E-1
2.088414000E0,-4.750424176E-2,-9.265790284E-2,7.625236988E-2,1.290603109E-1
2.098461000E0,-6.881938021E-2,1.064777970E-3,4.980833709E-2,8.495946850E-2
2.108507000E0,-1.878944278E-2,3.376708567E-2,-1.253058314E-3,3.866302355E-2
2.118554000E0,-6.614691029E-2,3.111011088E-2,1.680255890E-1,1.832371450E-1
2.128600000E0,-8.433176011E-2,7.223474801E-2,1.755205500E-1,2.076948918E-1
